Object Id,XMin,XMax,YMin,YMax,171Yb_Renin Cell Intensity,175Lu_Aqu1 Cell Intensity,176Yb_H3 Cell Intensity,191Ir_DNA1 Cell Intensity,193Ir_DNA2 Cell Intensity,141Pr_aSMA Cell Intensity,143Nd_Vimentin Cell Intensity,145Nd_Aqu2 Cell Intensity,146Nd_Nestin Cell Intensity,147Sm_B-Cat Cell Intensity,148Nd_Calbindin Cell Intensity,150Nd_CD86 Cell Intensity,151Eu_CD31 Cell Intensity,152Sm_CD66b Cell Intensity,153Eu_Uromodulin Cell Intensity,156Gd_CD4 Cell Intensity,159Tb_CD68 Cell Intensity,161Dy_CD20 Cell Intensity,162Dy_CD8a Cell Intensity,164Dy_Cytokeratin7 Cell Intensity,165Ho_Megalin Cell Intensity,166Er_Col-IV Cell Intensity,169Tm_WT1 Cell Intensity,170Er_CD3 Cell Intensity,89Y_CD45 Cell Intensity,Cell Area (µm²),Cytoplasm Area (µm²),Membrane Area (µm²),Nucleus Area (µm²),Nucleus Perimeter (µm),Nucleus Roundness
1286,1479,1499,306,328,1.425714,14.1,3303.9485,3071.5457,3380.0515,0,0,72.01428,101.402855,2.982857,0,1123.4572,0.485714,0,4991.8145,0,0,146.53714,0,347.7314,280.82285,102.405716,29.257143,0,0,350,277,0,73,35,0.817672
1287,934,966,307,326,3.69802,3289.9036,3614.9307,3134.8318,3825.7573,964.41583,65.35149,212.12129,256.79703,3.876238,0,2000.6559,0.668317,162.21535,525.26483,1187.9258,0,2651.8665,0,440.29208,1418.6486,3662.1484,1672.8713,6186.775,141.9406,404,283,0,121,53,0.596275
1288,1004,1021,303,329,3.635036,1721.9052,4270.956,854.55475,1166.7227,1468.9708,388.32846,16135.281,707.4891,2.857664,116.51095,2072.8833,0.656934,239.17883,1074.4015,0,0,842.3248,443.48904,956.708,1813.0365,2387.449,44.846714,0,0,274,222,0,52,29,0.751123
1289,1162,1180,312,329,7.217391,3416.9033,3077.2222,4619.024,4918.594,239.55556,17029.14,1047.1643,936.4686,6.304348,0,2954.8792,1.062802,316.5942,201.7198,0,0,399.18356,0,67.840576,328.05798,1944.7633,14909.816,0,0,207,169,0,38,24,0.783978
1290,1213,1234,309,327,6.110294,6171.636,5789.3013,5319.522,6008.6655,2648.5515,6296.9927,333.59558,441.64706,6.716912,0,2489.6875,21.875,0,244.79044,0,0,125.70588,0,34.419117,371.4522,6412.3125,6708.6914,0,0,272,189,0,83,44,0.655766
1291,1022,1037,314,335,2.922535,11921.193,4253.7534,2649.743,3094.0635,475.50705,195.87325,443.75,124.97183,2.757042,0,1230.7042,0.28169,230.75705,368.07745,536.081,0,60.19718,451.9366,131.85916,5760.3237,2229.067,533.6338,121.79225,0,284,206,0,78,37,0.802405
1292,1367,1385,306,327,3.007246,7533.4165,5458.4927,2778.5906,2914.663,1660.424,218.16304,420.08334,237.40942,3.782609,0,4036.5762,1.15942,237.44565,964.2681,0,2189.1594,309.71014,771.7319,152.64131,2657.4783,1932.0978,5194.203,389.16666,0,276,240,0,36,22,0.825658
1293,1094,1118,308,334,3.591346,1350.5072,3742.0864,3528.6033,3587.6562,2186.2524,1201.3221,436.24518,269.07693,2.509615,1680.5385,2993.185,1.324519,0,8695.303,0,157.53606,82.19231,292.10577,1519.0793,1569.4856,8201.479,568.61536,83.14664,0,416,364,0,52,30,0.717229
1294,1251,1279,313,324,2.223214,862.17413,1260.4955,890.8125,1071,0,12139.611,607.62054,792.2679,2.330357,0,2340.5356,0.401786,0,39.910713,0,0,0,0,62.691963,58.013393,300.6741,15378.21,0,0,224,187,0,37,26,0.652667
1295,987,1003,307,330,1.830882,231.34558,6780.5625,4066.0625,4625.1836,6.511029,0,12120.941,491.81985,1.919118,722.0772,1686.5625,0.588235,0,352.84192,0,0,0,0,4354.07,1137.9412,926.68384,207.05882,0,0,272,213,0,59,32,0.762381
1296,1004,1016,310,328,5.824562,461.66666,5640.1665,2570.6755,2582.6316,811.7719,19.72807,12116.386,407.1228,0,26.666666,1724.6052,0.350877,0,582.3947,0,0,149.9649,0,451.67545,1138.3334,4706.8857,80.8421,0,0,114,72,0,42,26,0.72276
